Format,Title,Artist,Release Year,Genre(s),Country,RIYL,Location (Shelf),Album Cover URL
Record,Pacific,"Haruomi Hosono, Tatsuro Yamashita, Shingeru Suzuki",1978,"jazz fusion, pop, tropicalia, city pop, jazz, instrumental",Japan,"Yellow Magic Orchestra, Masayoshi Takanaka
",A1,https://e.snmc.io/i/600/w/2c748a302de0c82eae391b8e10f3f6d5/9886075/%E7%B4%B0%E9%87%8E%E6%99%B4%E8%87%A3-haruomi-hosono-%E9%88%B4%E6%9C%A8%E8%8C%82-shigeru-suzuki-%E5%B1%B1%E4%B8%8B%E9%81%94%E9%83%8E-tatsuro-yamashita-pacific-Cover-Art.jpg
Record,Wede Harer Guzo,Hailu Mergia & Dahlak Band,1978,"ethio jazz, chill, groove, jazz, instrumental",Ethiopia,Mulatu Astatke,A5,https://f4.bcbits.com/img/a0210061991_16.jpg
Record,The Shadow of Your Smile,Astrud Gilberto,1965,"MPB, bossa nova, jazz ",Brazil,"Antônio Carlos Jobim, João Gilberto, Stan Getz, Jorge Ben Jor",B4,https://i.scdn.co/image/ab67616d0000b2730a2d5daaa98e0395fdf36c78
Record,The Olympians,The Olympians,2016,"jazz, instrumental, retro-soul",USA,"El Michels Affair, Menahan Street Band",D3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8bHw69wenhZ7fyjWQeVKm9tvjgJH9flu_NA&s
Record,Mulatu of Ethiopia,Mulatu Astatke,1972,"ethio jazz, jazz, instrumental",Ethiopia,Hailu Mergia,,"https://media.pitchfork.com/photos/5929c55513d197565213bfb6/1:1/w_320,c_limit/0245d93c.jpg"
Record,Encounter,Flora Purim,1977,"jazz, jazz fusion",Brazil,"Hermeto Pascoal, Airto Moreira ",,https://upload.wikimedia.org/wikipedia/en/4/43/Flora_Purim_Encounter.jpg
Record,Herb Alpert Presents...,Sergio Mendes & Brasil '66,1966,"bossa nova, jazz, samba",Brazil,"Antônio Carlos Jobim, João Gilberto, Herb Alpert, Jorge Ben Jor",,https://upload.wikimedia.org/wikipedia/en/5/5c/Herbalpertpresentsalbum.jpg
Record,Jazz Samba,"Stan Getz, Charlie Byrd",1962,"jazz, samba, bossa nova",USA,"Antônio Carlos Jobim, João Gilberto, Jorge Ben Jor",,https://m.media-amazon.com/images/I/81IO53aZ7FL.jpg
Record,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,1965,"jazz pop, easy listening, chill",USA,Sergio Mendes,,https://www.mixonline.com/wp-content/uploads/2002/02/herb.jpg
Record,Burning Desire,MIKE,2023,"hip-hop, rap",USA,Earl Sweatshirt,,https://f4.bcbits.com/img/a2382337335_16.jpg 
Record,Equinox,Sergio Mendes & Brasil '66,1967,bossa nova,Brazil,"Antônio Carlos Jobim, João Gilberto, Herb Alpert, Jorge Ben Jor",,"https://m.media-amazon.com/images/I/71uDv2kabAL._UF1000,1000_QL80_.jpg"
Record,Sira Ba Kele,Baba Commandant & the Mandingo Band,2018,"mandingue, afrobeat ",Burkina Faso,"Fela Kuti, Rail Band, Super Djata Band",,https://f4.bcbits.com/img/a4216819889_16.jpg
